Taxas de mortalidade pelas topografias selecionadas*, brutas e ajustadas por idade, pelas populações mundial e brasileira de 2010, por 100.000 homens e mulheres, na região Nordeste, entre 2015 e 2019.

LOCALIDADE;TAXAS ESPECIFICAS;;;;;;;;;;;;;;;;;;TAXA BRUTA;CLASSIFICACAO;TAXAS PADRONIZADAS
 ;00 a 04;05 a 09;10 a 14;15 a 19;20 a 29;30 a 39;40 a 49;50 a 59;60 a 69;70 a 79;80 ou mais;Idade ignorada; ; ;POPULAÇÃO MUNDIAL;POPULAÇÃO BRASIL;

Alagoas;0,00;0,00;0,06;0,25;1,66;6,63;22,01;48,90;87,87;152,93;230,34;0,00;19,54;14;21,17;22,77;
Bahia;0,03;0,02;0,06;0,20;0,97;6,38;19,83;44,84;87,60;137,93;234,15;0,00;21,18;16;19,98;21,48;
Ceará;0,03;0,00;0,05;0,17;1,22;7,42;22,58;60,01;126,54;225,86;369,76;0,00;30,02;10;28,55;30,81;
Maranhão;0,03;0,03;0,16;0,18;1,29;8,27;22,09;47,02;92,95;163,92;215,27;0,00;18,30;8;21,70;23,23;
Paraíba;0,06;0,00;0,11;0,43;1,34;6,55;20,25;47,24;100,81;170,54;297,12;0,00;25,60;12;22,88;24,72;
Pernambuco;0,00;0,03;0,02;0,27;1,44;7,90;23,66;57,53;116,13;196,10;341,26;0,00;28,20;13;26,65;28,79;
Piauí;0,00;0,00;0,00;0,28;1,59;8,73;21,92;48,97;109,43;192,60;346,87;0,00;25,66;9;25,27;27,47;
Rio Grande do Norte;0,15;0,00;0,00;0,34;1,16;6,70;20,78;57,29;117,09;203,03;320,29;0,00;28,20;11;26,18;28,13;
Sergipe;0,00;0,00;0,00;0,19;1,36;9,81;23,31;59,88;109,82;178,79;317,16;0,00;24,28;15;25,82;27,93;
